auction_id,titulo,cat,pais,retail,piezas,puja_actual,recuperacion,ingreso_esperado,puja_max,margen_para_pujar,sell_through,rotacion_d,calidad,match
51521,"4 Pallets of Personal Care, Beauty & More, 1,9","Personal Care, Beauty",DE,52646.0,1943.0,6613.0,15.530823298816607,8176.357233894991,1302.26,-5310.74,41.151685393258425,431.0,datos,Shaving & Hair Removal Appliances(alias); Beauty(depto)
51570,"4 Pallets of Home Goods, Musical Instruments &","Home Goods, Musical Instruments",IT,27843.0,700.0,1585.0,43.522934989937085,12118.090789248183,2337.45,752.4499999999998,78.59154929577464,317.0,datos,Musical Instruments(depto)
50887,"Truckload of Lawn and Garden, Furniture & More","Lawn and Garden, Furniture",PL,27382.0,440.0,1715.0,35.19777696686239,9637.855289066261,1820.69,105.69000000000005,76.89226458871428,269.0,datos,Lawn and Garden(depto); Furniture(exacta)
51629,"Small Truckload of TVs 61""-69"", TVs 70"" and La","TVs 61""-69"", TVs 70"" and Larger",ES,34794.0,44.0,100.0,24.031715526945305,8361.595100445349,1694.56,1594.56,,,global,(global)
51625,"4 Pallets of Wireless, Camera & More, 379 Piec","Wireless, Camera",ES,77207.0,379.0,6025.0,16.97022576009235,13102.2022025945,3312.24,-2712.76,53.15752692744288,279.0,datos,Wireless(depto); Camera(depto)
51633,"4 Pallets of Wireless, Camera & More, 325 Piec","Wireless, Camera",ES,115213.0,325.0,5025.0,16.97022576009235,19551.9062049752,4942.72,-82.27999999999975,53.15752692744288,279.0,datos,Wireless(depto); Camera(depto)
51621,"Truckload of Pet Products, Furniture & More, 8","Pet Products, Furniture",PL,32410.0,888.0,100.0,33.56964671642005,10879.92250079174,2134.68,2034.6799999999998,74.58635703918723,268.0,datos,Pet Products(depto); Furniture(exacta)
51630,"Truckload of Printing Hardware, Office Supplie","Printing Hardware, Office Supplies",PL,66528.0,890.0,100.0,19.26398233331016,12815.942166704583,2624.11,2524.11,61.27733026467204,317.5,datos,Printing Hardware(exacta); Office Supplies(exacta)
50633,"Small Truckload of Drugstore, Beauty & More, 2","Drugstore, Beauty",UK,,2032.0,,4.3880585784534105,,,,25.0,409.0,datos,Drugstore(depto); Beauty(depto)
51599,"Small Truckload of TVs 61""-69"", TVs 70"" and La","TVs 61""-69"", TVs 70"" and Larger",ES,34794.0,44.0,575.0,24.031715526945305,8361.595100445349,1694.56,1119.56,,,global,(global)
51615,"4 Pallets of Wireless, Camera & More, 1,075 Pi","Wireless, Camera",ES,109630.0,1075.0,1075.0,16.97022576009235,18604.458500789242,4703.21,3628.21,53.15752692744288,279.0,datos,Wireless(depto); Camera(depto)
51624,"4 Pallets of Electronics, Home Entertainment &","Electronics, Home Entertainment",DE,17929.0,343.0,100.0,14.423304212206903,2585.9542122065754,0.0,-100.0,38.95348837209303,275.5,datos,Electronics(depto); Home Entertainment(exacta)
51567,"4 Pallets of Games, Building Sets & More, 564 ","Games, Building Sets",IT,17051.0,564.0,1225.0,21.12835456286443,3602.5957365140143,184.74,-1040.26,41.711229946524064,317.0,datos,Games(exacta); Building Sets(exacta)
50802,"Small Truckload of Home Goods, Lawn and Garden","Home Goods, Lawn and Garden",ES,19436.0,468.0,1025.0,38.951533558918555,7570.620062511411,1494.6,469.5999999999999,70.76566125290023,366.0,datos,Lawn and Garden(depto)
51446,"4 Pallets of Video Games, Office Products & Mo","Video Games, Office Products",PL,18429.0,503.0,1875.0,10.136792413347841,1868.1094738558736,0.0,-1875.0,0.0,29.0,datos,Video Games(depto)
50904,"4 Pallets of Drugstore, Beauty & More, 1,139 P","Drugstore, Beauty",UK,,1139.0,,4.3880585784534105,,,,25.0,409.0,datos,Drugstore(depto); Beauty(depto)
51432,"Small Truckload of Robotic Vacuums, Brush & El","Robotic Vacuums, Brush & Electric ",DE,107226.0,231.0,6136.0,24.031715526945305,25768.247290922372,6094.96,-41.039999999999964,,,global,(global)
51534,"Truckload of Kitchen, Home Goods & More, 2,504","Kitchen, Home Goods",UK,,2504.0,,24.889899174002412,,,,75.06127450980392,400.0,datos,Kitchen(depto)
51522,"Small Truckload of Electronics, Wireless & Mor","Electronics, Wireless",DE,159947.0,3311.0,15521.0,16.228251282786776,25956.601079278964,6142.58,-9378.42,46.859923596479135,282.0,datos,Electronics(depto); Wireless(depto)
51428,"4 Pallets of Games, Vehicles & More, 561 Piece","Games, Vehicles",DE,18540.0,561.0,1525.0,11.666090647679484,2162.893206079776,0.0,-1525.0,30.92643051771117,317.0,datos,Games(exacta); Vehicles(exacta)
51485,"4 Pallets of Personal Care, Drugstore & More, ","Personal Care, Drugstore",IT,34206.0,1103.0,3604.0,19.918881877270017,6813.452734938982,996.44,-2607.56,66.15168539325842,420.0,datos,Shaving & Hair Removal Appliances(alias); Drugstore(depto)
50580,"4 Pallets of Home Entertainment, PC Goods & Mo","Home Entertainment, PC Goods",ES,19597.0,309.0,100.0,9.666827944987196,1894.4082723791407,478.91,378.91,25.0,270.0,datos,Home Entertainment(exacta)
51158,"4 Pallets of PC Goods, Wireless & More, 708 Pi","PC Goods, Wireless",ES,66697.0,708.0,125.0,13.276722086146941,8855.175329797426,2238.59,2113.59,40.81287044877222,283.0,datos,Wireless(depto)
51157,"4 Pallets of Games, Learning & Exploration & M","Games, Learning & Exploration",ES,19978.0,605.0,100.0,12.160636184557108,2429.451896950819,614.17,514.17,29.418344519015662,317.0,datos,Games(exacta); Learning & Exploration(exacta)
50900,"4 Pallets of Floorcare, Food Prep & More, 148 ","Floorcare, Food Prep",DE,21082.0,148.0,2251.0,22.487642178314022,4740.844724032162,433.77,-1817.23,73.22945205479452,386.0,datos,Floorcare(exacta); Food Preparation(aprox)
50868,"Small Truckload of Home Goods, Lawn and Garden","Home Goods, Lawn and Garden",ES,16404.0,365.0,1650.0,38.951533558918555,6389.609565005,1196.04,-453.96000000000004,70.76566125290023,366.0,datos,Lawn and Garden(depto)
51458,"Truckload of Hot Beverage Makers, Ironing & Mo","Hot Beverage Makers, Ironing",UK,,2190.0,,26.7314763886054,,,,71.09293802308407,367.5,datos,Hot Beverage Makers(exacta); Ironing(exacta)
51541,"4 Pallets of Home Improvement, Auto Goods & Mo","Home Improvement, Auto Goods",UK,,720.0,,19.10405129047176,,,,47.873179224038154,371.0,datos,Home Improvement(depto); Spare & Repair Parts Car & Truck(alias)
51407,"Small Truckload of Pool & Spa, Gardening Equip","Pool & Spa, Gardening Equipment & ",ES,21525.0,326.0,1575.0,37.26382770811985,8021.0389141727965,1608.47,33.47000000000003,80.79545454545453,366.0,datos,Pool & Spa(exacta); Gardening Equipment & Storage(exacta)
51560,"4 Pallets of Home Improvement, Auto Goods & Mo","Home Improvement, Auto Goods",IT,29456.0,702.0,2380.0,19.10405129047176,5627.289348121361,696.58,-1683.42,47.873179224038154,371.0,datos,Home Improvement(depto); Spare & Repair Parts Car & Truck(alias)
51549,"Small Truckload of Laundry, Dishwashers & More","Laundry, Dishwashers",ES,17241.0,113.0,1426.0,9.58876072998768,1653.1982374571758,0.0,-1426.0,25.0,439.0,datos,Laundry(exacta); Dishwashers(exacta)
51573,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,4026.0,24.031715526945305,,,,,,global,(global)
51596,"4 Pallets of Lighting, Housewares & More, 688 ","Lighting, Housewares",DE,16285.0,688.0,1625.0,24.75981342827433,4032.1356167944746,254.6,-1370.4,51.082187364200905,364.0,datos,Lighting(exacta); Housewares(exacta)
51582,"4 Pallets of Video Games, Office Products & Mo","Video Games, Office Products",PL,13070.0,261.0,1686.0,10.136792413347841,1324.8787684245628,0.0,-1686.0,0.0,29.0,datos,Video Games(depto)
50587,"Small Truckload of Lawn and Garden, Home Impro","Lawn and Garden, Home Improvement",ES,31124.0,168.0,100.0,32.43138810573177,10093.945234027957,2132.5,2032.5,63.91211844777334,368.5,datos,Lawn and Garden(depto); Home Improvement(depto)
51159,"4 Pallets of Hair Care Appliances, Shaving & H","Hair Care Appliances, Shaving & Ha",ES,27684.0,496.0,100.0,27.828545215457474,7704.054457447247,1947.58,1847.58,77.13494899158478,431.0,datos,Hair Care Appliances(exacta); Shaving & Hair Removal Appliances(exacta)
51189,"4 Pallets of Oral Care Appliances, Medical App","Oral Care Appliances, Medical Appl",ES,19315.0,361.0,100.0,31.570320770433742,6097.807456809277,1541.53,1441.53,75.28673835125448,431.0,datos,Oral Care Appliances(exacta); Medical Appliances(exacta)
50620,"4 Pallets of Brush & Electric Brooms, Robotic ","Brush & Electric Brooms, Robotic V",DE,25123.0,62.0,100.0,24.031715526945305,6037.487891834469,761.56,661.56,,,global,(global)
